Name,Label
Spinach Naan,MENU
Beef Broccoli,MENU
Lamb Saag Curry,MENU
Mutter Paneer,MENU
Chicken Tikka Masa,MENU
Chicken kebab,MENU
Lamb And Goat Stew,MENU
Fried Naan Bread,MENU
Fish Pakora,MENU
Shabu Paneer,MENU
Vegetable Appetizer,MENU
Tandoori Fish Tikka,MENU
Cheese Filled Naan,MENU
Fish Masala,MENU
Sweet Naan,MENU
Cheese Naan Bread,MENU
Garlic Naan Bread,MENU
Chicken Curries,MENU
White Meat,MENU
Chicken Breast Pieces,MENU
Daal,MENU
Aloo Zucchini,MENU
Vegetable Soup,MENU
Coconut Naan Bread,MENU
White Meat Fish,MENU
Shahikorma Sauce,MENU
Mango Juice,MENU
Vegetable Platter,MENU
Paneer Pakora,MENU
Aloo Tikki,MENU
Vindaloo,MENU
Pakoora,MENU
Fried Naan,MENU
Mushroom And Paneer Masala,MENU
White Meat Chicken,MENU
Sauced Chicken Dish,MENU
Onion Bhajis,MENU
Lamb Saag,MENU
Lentils,MENU
Lamb Biryani,MENU
Chicken Korma,MENU
Plain Naan,MENU
Shrimp Tikka Masala,MENU
Chicken Tikki Masala,MENU
Paneer Cheese,MENU
Mango Lamb Curry,MENU
Basmati Rice,MENU
Salad,MENU
Chicken Mango,MENU
Tikka,MENU
Kormas,MENU
Kebab Combo,MENU
Chicken Wrap,MENU
Tandoori Chicken Leg kebab,MENU
kebab,MENU
Korma,MENU
Tandoori kebab,MENU
Kabab Karahi,MENU
Lamb Shank,MENU
Chicken Kebab Dinner,MENU
Vegetable Stew,MENU
Tahini Sauce,MENU
Beef Tikkas,MENU
Beef Karahi,MENU
Beef Tika,MENU
Palak Sabzi,MENU
Tandoori,MENU
Tandoori Chicken Dinner,MENU
Chicken Pieces,MENU
Beef Tikka Wrap,MENU
Yoghurt Sauce,MENU
Sandwitch,MENU
Green Chicken,MENU
Beef Seekh,MENU
Tikka Beef,MENU
Ground Chicken Seekh,MENU
Veggie Wrap,MENU
Veggie Wraps,MENU
Chicken Seekh Wrap,MENU
Grilled Salmon,MENU
Crispy Fries,MENU
Kebab,MENU
Chapli Kebab,MENU
Meat Kebab,MENU
Bulani,MENU
White Sauce,MENU
Soma,MENU
Chicken Madras,MENU
Lamb Vindaloo,MENU
Soma Grill,MENU
Soup,MENU
Mataar Paneer,MENU
Fried Chicken,MENU
Pizza,MENU
Burgers,MENU
Tandoor,MENU
Pita Bread,MENU
Spicy Shrimp,MENU
Mixed Veggie,MENU
Shrimp Madras,MENU
Spinach Masala,MENU
Halwah,MENU
Green Sauce,MENU
Chickpeas,MENU
Vegetable Samosa,MENU
Marinated Goat,MENU
Massla Vada,MENU
Curried Goat,MENU
Sultani Kebab Dinner,MENU
Tandoori Kebab,MENU
Potato Bread,MENU
Bolani,MENU
Vege Salad,MENU
Tandoori kebab Dinner,MENU
Tandoori Chicken kebab Dinner,MENU
Tandoori Chicken Special,MENU
Beef Skewer,MENU
Pamier,MENU
Kofta,MENU
Ground Beef kebab,MENU
Dinner,MENU
Chapli Dinner,MENU
Qabulee Rice,MENU
Chapli kebab Dinner,MENU
Tandoori Wazeri Dinner,MENU
Firni,MENU
Waziri Kabab,MENU
Choppan Kabab,MENU
Lamb Chops,MENU
Chicken Kabab,MENU
Chicken Breast kebab,MENU
Barg kebab,MENU
Fish Tandoori,MENU
Bbq,MENU
Tandoori Fish,MENU
Wazeri kebab Dinner,MENU
Chicken Breast Dinner,MENU
Doogh,MENU
Yoghurt Drink,MENU
Afghani Green Tea,MENU
Tandoori Chicken Breast,MENU
Wazeri kebab,MENU
Kofta kebab Skewer,MENU
Chapli kebab,MENU
Barg,MENU
Chapli,MENU
Afghan kebab,MENU
Afghani Bread,MENU
Dinner Platter,MENU
Manakeesh,MENU
Baklawa,MENU
Afghan Kabab,MENU
Barg Kabab,MENU
Salad Dinners,MENU
Ferni,MENU
Paneer Kaboobs,MENU
Wazieri Kebab,MENU
Afghan Bread,MENU
Chaplin Kebab,MENU
Fries,MENU
Kobobs,MENU
Chicken Skewers,MENU
Barg Kebab,MENU
Kofta kebab,MENU
Chapli Kebab Diner Platter,MENU
Beef Kebab,MENU
Afghani Naan,MENU
Chicken Breast Stew,MENU
Tandoori Naan,MENU
Wazeri Kabab Dinner,MENU
Kofta Kabab Sultani Kabab Dinner,MENU
Kofta Kabab Chapli Kabab Dinner,MENU
Spicy Minced Meat Patties,MENU
Red Sauce,MENU
Tomato Sauce,MENU
White,MENU
Afghani Rice,MENU
Chilli Sauce,MENU
Bolanee,MENU
Afghani Grills,MENU
Chicken Dinner,MENU
Half Chicken Dinner,MENU
Sultani Dinner,MENU
Burg,MENU
Filet,MENU
Boulani,MENU
Kheer,MENU
Beef Tikka,MENU
Naan Combo,MENU
Meat kebab,MENU
Tandoori Chicken Boneless,MENU
Spicy Fish,MENU
White And Red Sauce,MENU
Boulagnee,MENU
Mantoo,MENU
Chicken Kofta Wrap,MENU
Chapli Kabab,MENU
Tandoori Platter,MENU
Waziri,MENU
Wazeri Platter,MENU
Grilled Chicken,MENU
Beef Kofta Kabab,MENU
Qabuli Pulao,MENU
Bbq Chicken Breast,MENU
Spicy Ground Beef,MENU
Squashed Burger Patty,MENU
Tomato,MENU
Dough,MENU
Tzatzaki Sauce,MENU
Dipping Sauce,MENU
Tandoori Chicken Wrap,MENU
Afghan Salad,MENU
Chicken Tikka kebab,MENU
Chicken Kofta Salad,MENU
Sea Bass Dinner,MENU
Chicken Kofta,MENU
Bass,MENU
Sea Bass,MENU
Tandoori Wrap,MENU
Hamburger,MENU
Rilled,MENU
Tandoori Plate,MENU
Chicken Skrewers,MENU
Fish Dinner,MENU
Chicken kebab Salad,MENU
Pico,MENU
Chicken Meal,MENU
Green Tea,MENU
Afghani Cuisine,MENU
Tikkah,MENU
Qorma,MENU
Kabuli Palau,MENU
Lamb Stew,MENU
Yakhnee,MENU
White Rice,MENU
Lamb Shank Dinner,MENU
Chicken Qorma,MENU
Shank,MENU
Chopan Grill,MENU
Watan kebab,MENU
Beef Kofta,MENU
Spicy,MENU
Lamp kebab Dinner,MENU
Beef kebab,MENU
Spicy Tomato Sauce,MENU
Beef Tikka kebab Dinner,MENU
Diced Tomato Salad,MENU
Iceberg Lettuce Salad,MENU
Tandori Chicken,MENU
